CC = true;
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[47] Total 9643470 ChiSquare(x,y) = 4.86763 CV=-0.000710464 p=0.0269996 => H0 accepted
[48] Total 8427 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[49] Total 642333 ChiSquare(x,y) = 7.63454 CV=0.00344756 p=0.00513817 => H0 rejected
[50] Total 333912 ChiSquare(x,y) = 1.46848 CV=-0.0020971 p=0.207278 => H0 accepted
[51] Total 3459 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[52] Total 13988712 ChiSquare(x,y) = 194.033 CV=-0.00372434 p=1.47721e-51 => H0 rejected
[53] Total 9309558 ChiSquare(x,y) = 3.46535 CV=-0.000610111 p=0.0625944 => H0 accepted
[54] Total 5331763 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[55] Total 11043511 ChiSquare(x,y) = 19437.2 CV=0.041953 p=0 => H0 rejected
[56] Total 8948995 ChiSquare(x,y) = 6281.59 CV=0.026494 p=0 => H0 rejected
[57] Total 3735166 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[58] Total 4143019 ChiSquare(x,y) = 944.895 CV=0.015102 p=4.29058e-247 => H0 rejected
[59] Total 3924271 ChiSquare(x,y) = 1320.35 CV=0.0183428 p=0 => H0 rejected
[60] Total 1596597 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[61] Total 6900492 ChiSquare(x,y) = 2275.59 CV=0.0181596 p=0 => H0 rejected
[62] Total 5024724 ChiSquare(x,y) = 10498.7 CV=-0.04571 p=0 => H0 rejected
[63] Total 505993 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[64] Total 3599470 ChiSquare(x,y) = 183.822 CV=0.00714626 p=6.74175e-49 => H0 rejected
[65] Total 781171 ChiSquare(x,y) = 7730.56 CV=0.0994793 p=0 => H0 rejected
[66] Total 170704 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[67] Total 176041 ChiSquare(x,y) = 3.91384 CV=-0.00471514 p=0.0478344 => H0 accepted
[68] Total 171364 ChiSquare(x,y) = 82.4338 CV=0.0219327 p=1.70544e-22 => H0 rejected
