CC = !((ss-1)->statScore < 22661);
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[708] Total 58 Hits 31 hit rate (%) 53.4483 size 4
[709] Total 24 Hits 11 hit rate (%) 45.8333 size 5
[710] Total 34 Hits 20 hit rate (%) 58.8235 size 5
[711] Total 15 Hits 8 hit rate (%) 53.3333 size 4
[712] Total 5 Hits 3 hit rate (%) 60 size 5
[713] Total 10 Hits 5 hit rate (%) 50 size 5
[717] Total 15 Hits 8 hit rate (%) 53.3333 size 5
[718] Total 5 Hits 3 hit rate (%) 60 size 6
[719] Total 10 Hits 5 hit rate (%) 50 size 6
[720] Total 48 Hits 25 hit rate (%) 52.0833 size 4
[721] Total 20 Hits 9 hit rate (%) 45 size 5
[722] Total 28 Hits 16 hit rate (%) 57.1429 size 5
[723] Total 5 Hits 2 hit rate (%) 40 size 5
[724] Total 1 Hits 1 hit rate (%) 100 size 6
[725] Total 4 Hits 1 hit rate (%) 25 size 6
[726] Total 43 Hits 23 hit rate (%) 53.4884 size 5
[727] Total 19 Hits 8 hit rate (%) 42.1053 size 6
[728] Total 24 Hits 15 hit rate (%) 62.5 size 6
[0] Total 62340 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[1] Total 3532935 ChiSquare(x,y) = 65.5379 CV=0.00430703 p=4.28368e-18 => H0 rejected
[2] Total 19221165 ChiSquare(x,y) = 12.5021 CV=-0.000806494 p=0.000277476 => H0 rejected
[3] Total 59596 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[4] Total 2529031 ChiSquare(x,y) = 47.5588 CV=0.00433649 p=2.06005e-13 => H0 rejected
[5] Total 3916840 ChiSquare(x,y) = 446.1 CV=-0.0106721 p=3.36646e-117 => H0 rejected
[6] Total 2744 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[7] Total 942425 ChiSquare(x,y) = 0.270151 CV=0.000535402 p=0.425224 => H0 accepted
[8] Total 217184 ChiSquare(x,y) = 94.4599 CV=0.020855 p=1.25906e-25 => H0 rejected
[9] Total 2365 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[10] Total 2085205 ChiSquare(x,y) = 1.60158 CV=0.000876395 p=0.191378 => H0 accepted
[11] Total 26053 ChiSquare(x,y) = 37.3131 CV=0.0378444 p=9.59444e-11 => H0 rejected
[12] Total 911 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
